particles,batches,inactive_cycles,material_temperature_K,density_temperature,k_combined

100000, 100, 20,  300.0, 300.0, 1.05011+/-0.00027
100000, 100, 20,  400.0, 400.0, 1.03770+/-0.00031
100000, 100, 20,  500.0, 500.0, 1.02534+/-0.00030
100000, 100, 20,  600.0, 600.0, 1.01374+/-0.00027
100000, 100, 20,  700.0, 700.0, 1.00533+/-0.00031
100000, 100, 20,  800.0, 800.0, 0.99717+/-0.00027
100000, 100, 20,  900.0, 900.0, 0.98888+/-0.00027
100000, 100, 20,  1000.0, 1000.0, 0.98171+/-0.00028
100000, 100, 20,  1100.0, 1100.0, 0.97394+/-0.00032
100000, 100, 20,  1200.0, 1200.0, 0.96764+/-0.00032
100000, 100, 20,  1300.0, 1300.0, 0.96127+/-0.00027
100000, 100, 20,  1400.0, 1400.0, 0.95594+/-0.00029
100000, 100, 20,  1500.0, 1500.0, 0.94941+/-0.00028
100000, 100, 20,  1600.0, 1600.0, 0.94319+/-0.00023
100000, 100, 20,  1700.0, 1700.0, 0.93677+/-0.00025
100000, 100, 20,  1800.0, 1800.0, 0.93007+/-0.00025
100000, 100, 20,  973.15, 300.0, 1.00182+/-0.00028
100000, 100, 20,  973.15, 400.0, 0.99871+/-0.00026
100000, 100, 20,  973.15, 500.0, 0.99709+/-0.00028
100000, 100, 20,  973.15, 600.0, 0.99471+/-0.00028
100000, 100, 20,  973.15, 700.0, 0.99126+/-0.00029
100000, 100, 20,  973.15, 800.0, 0.98850+/-0.00030
100000, 100, 20,  973.15, 900.0, 0.98570+/-0.00026
100000, 100, 20,  973.15, 1000.0, 0.98189+/-0.00027
100000, 100, 20,  973.15, 1100.0, 0.97967+/-0.00028
100000, 100, 20,  973.15, 1200.0, 0.97578+/-0.00028
100000, 100, 20,  973.15, 1300.0, 0.97176+/-0.00029
100000, 100, 20,  973.15, 1400.0, 0.96857+/-0.00029
100000, 100, 20,  973.15, 1500.0, 0.96409+/-0.00033
100000, 100, 20,  973.15, 1600.0, 0.96028+/-0.00027
100000, 100, 20,  973.15, 1700.0, 0.95596+/-0.00031
100000, 100, 20,  973.15, 1800.0, 0.95052+/-0.00030
100000, 100, 20,  300.0, 973.15, 1.03157+/-0.00028
100000, 100, 20,  400.0, 973.15, 1.02098+/-0.00030
100000, 100, 20,  500.0, 973.15, 1.01172+/-0.00032
100000, 100, 20,  600.0, 973.15, 1.00293+/-0.00031
100000, 100, 20,  700.0, 973.15, 0.99735+/-0.00029
100000, 100, 20,  800.0, 973.15, 0.99191+/-0.00031
100000, 100, 20,  900.0, 973.15, 0.98674+/-0.00029
100000, 100, 20,  1000.0, 973.15, 0.98270+/-0.00031
100000, 100, 20,  1100.0, 973.15, 0.97892+/-0.00030
100000, 100, 20,  1200.0, 973.15, 0.97587+/-0.00027
100000, 100, 20,  1300.0, 973.15, 0.97369+/-0.00025
100000, 100, 20,  1400.0, 973.15, 0.97016+/-0.00028
100000, 100, 20,  1500.0, 973.15, 0.96822+/-0.00027
100000, 100, 20,  1600.0, 973.15, 0.96678+/-0.00027
100000, 100, 20,  1700.0, 973.15, 0.96342+/-0.00027
100000, 100, 20,  1800.0, 973.15, 0.96163+/-0.00026
100000, 100, 20,  973.15, 973.15, 0.98368+/-0.00028
multipole=False. create_delayed_neutrons=False. Density from table 1. Inventory from table 7. Cylindrical 20x20x20 entropy mesh: off. Minutes passed:157.38
